nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm3080264	Mo Twine	\N	\N	transportation_department,director,writer	tt1262900,tt1839427,tt0376591,tt2055652
nm3080265	Ivan Hinson	\N	\N	actor,sound_department,miscellaneous	tt1234430
nm3080266	Susanna McCorkle	1946	2001	soundtrack	tt0328962,tt0125022,tt0338249,tt0092322
nm3080267	Rhianna Baxter	\N	\N		tt0284702,tt0287196
nm3080268	Bojan Milanovic	\N	\N	actor	tt0191733
nm3080269	Marcos Herrera	\N	\N	camera_department,sound_department,assistant_director	tt2014319,tt7649694,tt2452242,tt13694706
nm3080270	Julie Ann Dulude	\N	\N	actress,costume_designer	tt3569326,tt1234430,tt2327782,tt7207682
nm3080271	Billy Rivers & The Angelic Voices of Faith	\N	\N	music_department	tt0427309
nm3080272	Michael Corrao	\N	\N	composer	tt1265601
nm3080274	Jan Tristan Pandy	\N	\N	camera_department,cinematographer,producer	tt3109138,tt7095962,tt3209894,tt4058794
nm3080275	Ms. Fah	\N	\N	actress	tt1247400
nm3080276	Grambling State University Band	\N	\N	music_department	tt0427309
nm3080277	Thanaporn Kosittechavanij	\N	\N	actress	tt1247400
nm3080280	Jere Beulah	\N	\N	actor,composer	tt1265595
nm3080281	Sammy	\N	\N	actor	tt0094514,tt0118364
nm3080282	Sevak Grigoryan	\N	\N	actor	tt1247684
nm3080283	Richard Elder	\N	\N	art_department,special_effects	tt1431045,tt0457572,tt0489664,tt1185266
nm3080285	David Sarkisyan	1947	2010	assistant_director	tt1386352,tt0220309
nm3080286	Shunit Faragi	\N	\N		tt1265134,tt7617770
nm3080287	Ray Dippolito	\N	\N	actor,cinematographer,camera_department	tt1322924,tt2828022,tt19315764,tt1806850
nm3080288	Jack Little	\N	\N	actor,stunts	tt0427309,tt1477860
nm3080289	Christian Juneau	\N	\N	miscellaneous,casting_department	tt0479997,tt1540128,tt1674784,tt1502404
nm3080290	Whaldo de Kock	\N	\N	miscellaneous	tt0443649
nm3080291	Michael Herrick	\N	\N	producer	tt1185431,tt1931602,tt1452628,tt2236160
nm3080292	Chris Kappel	\N	\N	camera_department,miscellaneous,writer	tt4247858,tt3138344,tt10327412,tt5117670
nm3080293	Ziya Wei	\N	\N		tt1265134
nm3080295	John Davis	\N	\N	miscellaneous	tt1375408
nm3080296	Alizée Poulicek	\N	\N		tt1265134,tt1535477
nm3080297	Alfina Nassyrova	\N	\N		tt1265134
nm3080299	Shobe Uy	\N	\N	art_director,camera_department	tt1237797,tt1244505
nm3080300	Jackie Seiden	1979	\N	actress,writer,producer	tt11815758,tt9154566,tt1442437,tt7845644
nm3080302	Cong Khe Nguyen	\N	\N		tt1265134
nm3080303	Rebecca Howland	\N	\N	actress,camera_department,director	tt1661962,tt5212726,tt1265616,tt2011379
nm3080304	Mark Ramsay	\N	\N	actor	tt3946016,tt5722298,tt2125149,tt1672591
nm3080306	Becky Lam	\N	\N		\N
nm3080307	Avi Elmalich	\N	\N	actor	tt0816672
nm3080308	Samir Skaaf	\N	\N	actor	tt1247684
nm3080309	Michael Oster	1967	\N	sound_department	tt1265594
nm3080310	Bryant Naro	\N	\N	camera_department,cinematographer,editorial_department	tt3668602,tt2186638,tt3951812,tt1237838
nm3080311	Richard Oud	\N	\N	animation_department	tt4044024,tt12496904,tt0429589,tt2722730
nm3080312	Andrew Brown	\N	\N		tt1381555
nm3080313	Mary Whetzel	\N	\N	miscellaneous	tt1236416
nm3080314	John Caraccioli	\N	\N	actor,stunts	tt4480936,tt1723759,tt2913562,tt1265300
nm3080316	Will Hayles	\N	\N	art_department,camera_department	tt1742087,tt15309206,tt6103712,tt1179658
nm3080317	Patra Pordee	\N	\N	actress	tt1247400
nm3080318	Ana Arguello-Toro	\N	\N	make_up_department	tt1265604
nm3080319	Mojdeh Daftary	\N	\N	costume_designer,costume_department,miscellaneous	tt2582496,tt4975856,tt0936501,tt4061080
nm3080320	Anupa Dhimal	\N	\N		tt1211349
nm3080321	Jetro Castro	\N	\N	actor,stunts	tt0305301,tt2752742,tt0381596,tt0305246
nm3080322	Revital Regev	\N	\N	actress	tt0816672
nm3080323	Christina Deantonis	\N	\N	costume_designer,costume_department	tt1502398,tt1639836,tt1265548,tt1350492
nm3080324	Raúl Atondo	\N	\N	sound_department	tt1616108,tt4145318,tt6802322
nm3080325	Belén Castillo-Olivares	\N	\N	costume_department,production_designer	tt0922037,tt0486425
nm3080326	Sébastien Watteau	\N	\N	music_department	tt1265594
nm3080327	Vicky Nikolaou	\N	\N	actress	tt1136740
nm3080328	E. Mellin	\N	\N	camera_department	tt0024531
nm3080329	Chien-Kuo Wang	\N	\N	actor,camera_department	tt2139819,tt0893593
nm3080330	Robert Bowden	\N	\N	art_department	tt0427309,tt0477071
nm3080331	Maria Gudejko	1986	\N	actress	tt8174330,tt1285008,tt0441074,tt0262975
nm3080333	Jonathan Beran	\N	\N	actor	tt1265548
nm3080334	Pazit Levitan	\N	\N	producer	tt1176728
nm3080335	Gvantsa Daraselia	\N	\N	actress	tt1677714,tt1265134,tt1832975
nm3080336	Chris Burns	\N	\N	sound_department	tt1262900
nm3080337	Stathis Ioannou	\N	\N	composer,music_department,actor	tt0397585,tt1654062,tt1511446,tt1787111
nm3080338	Andrew Maccleod	\N	\N	special_effects	tt0907678
nm3080339	Marie-Anne Olivia Carey	\N	\N		tt1265134
nm3080340	Avital Blum	\N	\N	actress	tt0816672
nm3080341	Donald Scott Denton	\N	\N	actor	tt1221932
nm3080342	Isabella van Richthofen	\N	\N	miscellaneous	tt0443649
nm3080343	Steve Laks	\N	\N	art_department	tt3488298
nm3080345	Clare White	\N	\N	director,producer	tt1466397,tt11890916
nm3080346	David Polanzak	\N	\N	casting_department,casting_director,miscellaneous	tt1143294,tt0278191,tt1771224,tt1217214
nm3080347	Joahnnes Roeder	\N	\N	actor	tt0103708
nm3080349	John Gregorio	\N	\N	transportation_department	tt0427309
nm3080350	Milos Skorepa	\N	\N	costume_department	tt0443649
nm3080351	Takahiro Takano	\N	\N	miscellaneous	tt1259487
nm3080352	Dulio Denis	\N	\N	cinematographer,editor,producer	tt1265602,tt1391571
nm3080353	Roy Enso	\N	\N	camera_department,actor	tt1604556,tt2027274,tt1615136,tt2995836
nm3080354	John Patrick Beechiner	\N	\N	cinematographer,art_department,composer	tt1387378,tt0907678
nm3080355	Kenneth Vanbaeden	1993	\N	actor	tt3848588,tt1924400,tt1075110,tt0379685
nm3080356	Vrinda Benedict	\N	\N	actress	tt1247400
nm3080357	William Carter	\N	\N	writer	tt1121628
nm3080358	Daniel Love	\N	\N	actor,miscellaneous	tt1161418,tt2977400,tt14090188,tt2166289
nm3080359	Kelton 'Mookie' Ballard	\N	\N	camera_department	tt4364194,tt4354880,tt2205697,tt2017109
nm3080360	Isaiah Basora	\N	\N	actor	tt1265604
nm3080361	Marv Z Silverman	\N	\N	director,writer,actor	tt1265295,tt12444960
nm3080363	Kennedy Uy Recato Dy	\N	\N	editorial_department,miscellaneous,camera_department	tt5575976,tt3909884,tt4102614,tt2538176
nm3080365	Ryan Raith	\N	\N	visual_effects,animation_department	tt0449088,tt1175491,tt2097331,tt0814255
nm3080366	Juan Echavarria	\N	\N	transportation_department	tt4126340,tt0427309
nm3080367	Vince Licassi	\N	\N		tt1265614
nm3080368	Escha Tanihatu	1984	\N	actress,camera_department,casting_department	tt0466416,tt9777520,tt0887750,tt1167675
nm3080369	Wendy Mathieson	\N	\N	casting_department	tt0057731
nm3080370	Melissa Flatley	\N	\N	art_director	tt1260563
nm3080371	Kurt Eiertag	\N	\N	special_effects	tt1068282,tt9900092
nm3080373	Ehud Levy	\N	\N	actor	tt1247684
nm3080374	Naomi Tzvick	\N	\N	actress	tt0816672
nm3080376	Jane Friedman	\N	\N	costume_department	tt0103652,tt0099346
nm3080377	Masashi Kobuchi	\N	\N	camera_department,editorial_department,cinematographer	tt1653647,tt2318595,tt1231294,tt1259487
nm3080378	Adreana Braun	\N	\N	music_department	tt0262985
nm3080379	Craig Hantke	\N	\N	camera_department	tt0907678,tt0468965
nm3080380	Steve Shirzadi	\N	\N	actor	tt1247684
nm3080381	Samantha Tajik	\N	\N	actress	tt2149049,tt1265134,tt1954426
nm3080383	Pavel Deshura	\N	2022		tt1238767
nm3080384	Ruth Girkon	\N	\N	miscellaneous	tt0052654,tt0054320
nm3080385	Inti Santamaría	\N	\N	art_department	tt1230522,tt1139666,tt2062575
nm3080386	Kitiya Chaiyapan	\N	\N	actress	tt1247400
nm3080387	Chantal Leverton	\N	\N	music_department	tt0829440,tt0217211
nm3080389	Maolen Fadul	\N	\N	production_designer,art_director,art_department	tt3307432,tt22025868,tt8710234,tt9204072
